"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"GENSCAN00000000001"	16.7775166243027	0.600052727857683	0.508268919748607	1.18058119342507	0.237769138294639	NA
"GENSCAN00000000005"	15.2749568211789	0.489481433223261	0.526668129338951	0.929392545240274	0.352685689768868	NA
"GENSCAN00000000008"	643.939132120995	0.270166572644372	0.094303832212942	2.86485253360993	0.0041720347897713	0.0213870231444902
"GENSCAN00000000011"	618.521760569051	-0.389656742992661	0.09914900864449	-3.9300114879597	8.49418031692056e-05	0.000768481882031475
"GENSCAN00000000018"	2.30817390606692	0.2561726503977	1.30854709716987	0.195768765947937	0.844791158155661	NA
"GENSCAN00000000024"	46.1553103556805	-0.233578492855488	0.301282310371308	-0.775281139365998	0.438173551665452	0.641087094489209
"GENSCAN00000000026"	66.616322422991	-0.397653489101325	0.25124186217916	-1.58275171841291	0.113478065250221	0.272303330587977
"GENSCAN00000000027"	618.920011915724	0.249271629344108	0.0929553642502905	2.68162715895473	0.00732650642384168	0.0338639348072286
"GENSCAN00000000030"	2468.04025175481	-0.202478525380597	0.0589300188468336	-3.43591482478333	0.000590556605611896	0.00416452430090363
"GENSCAN00000000034"	1736.15111668558	-0.0246967643455313	0.0702036697667157	-0.35178736991382	0.724997731234069	0.851454358568817
"GENSCAN00000000035"	274.765150603983	-0.316948158419409	0.135228739061997	-2.34379289948196	0.0190887675150676	0.0723905196448747
"GENSCAN00000000036"	34.4957629286642	-0.203747180345584	0.366834240026289	-0.555420291003868	0.578607216798781	0.752645506403639
"GENSCAN00000000042"	83.9313278398565	-0.240118683732588	0.233130993706664	-1.02997323485317	0.30302257004658	0.515403339021418
"GENSCAN00000000045"	6.66389802681398	0.153286568012585	0.781628832586701	0.196111711367278	0.84452272990341	NA
"GENSCAN00000000046"	300.669110628469	0.4133141631146	0.129771505835457	3.1849377138203	0.00144785167301494	0.00896822763404433
"GENSCAN00000000051"	6710.49322480459	-0.120537099982134	0.0495382701439443	-2.43321172967662	0.0149655468375518	0.0597129582506874
"GENSCAN00000000052"	11331.2123327512	0.0791777563724372	0.0515611756889088	1.5356080483919	0.124634539054522	0.290219015831246
"GENSCAN00000000072"	40.5357599500535	0.185810725317079	0.34502115370985	0.538548791339731	0.590198230064219	0.759803887268174
"GENSCAN00000000075"	705.398023885114	-0.209786486372854	0.0978642025457121	-2.14364886154223	0.0320610325718603	0.107548445788959
"GENSCAN00000000082"	33.1498301781479	0.434259418213595	0.36979989629266	1.17430919415381	0.240271201954541	0.446167884297712
"GENSCAN00000000084"	14.6641606214126	-2.0513908578251	3.39908298358502	-0.603513026228474	0.546167452501161	NA
"GENSCAN00000000097"	485.653538062891	0.957506030744439	1.92655951892228	0.497003088324035	0.619186873490351	0.780672683042165
"GENSCAN00000000110"	62.9555081239379	0.255490547497522	0.266131749177532	0.960015286740885	0.337047521346454	0.547873613407676
"GENSCAN00000000118"	996.384230901733	0.0161026792526896	0.0789302034050826	0.204011627463419	0.838344412596463	0.916645491888896
"GENSCAN00000000121"	3.73423633551282	0.701300922484938	1.03973086933744	0.674502357453172	0.499991987452169	NA
"GENSCAN00000000127"	3334.98832438155	0.0762269437927902	0.0619195418491073	1.23106440255241	0.218298778017275	0.420032682678861
"GENSCAN00000000130"	307.72394354808	-0.192184131892807	0.12923170001053	-1.48712840485072	0.136980900713305	0.309571972646416
"GENSCAN00000000134"	38.065951550985	0.728293957083173	0.332646518017307	2.18939299717931	0.028568288205113	0.0982802447341213
"GENSCAN00000000143"	903.728870966097	0.0719095189385643	0.0977742790511426	0.735464578582582	0.462056604694247	0.660588096578092
"GENSCAN00000000146"	143.199737105796	-0.23109209065348	0.174980111067243	-1.32067632854955	0.186609310195261	0.379808659974514
"GENSCAN00000000147"	52.3041139686199	-0.484161730634032	0.281811303030372	-1.71803517257025	0.0857901999937646	0.223599971432228
"GENSCAN00000000157"	62.6052264975097	0.458863836467062	0.299821531393125	1.53045658307109	0.125903752408548	0.291982456115534
"GENSCAN00000000158"	4.39524164255615	-0.363874167256452	1.02969940866326	-0.353379019347818	0.723804312637595	NA
"GENSCAN00000000163"	808.756426683159	-0.307889114462003	0.0953035438058891	-3.23061559063429	0.00123523946449815	0.00789212075743458
"GENSCAN00000000164"	211.522310176836	0.413409934209896	0.144955081564142	2.85198648953169	0.00434469471845485	0.0220942082541613
"GENSCAN00000000166"	754.737542278003	0.103452508020477	0.0870697181463015	1.18815714835149	0.234771502677443	0.439510078197779
"GENSCAN00000000168"	3.52916356763767	0.206770462480939	1.0795258684072	0.191538219261036	0.848103940146841	NA
"GENSCAN00000000169"	46.8063982565701	0.530344528112806	0.304486354290179	1.74176780220299	0.0815490828658905	0.21561164914797
"GENSCAN00000000176"	215.771322846024	-0.0250341082561318	0.147687746946614	-0.169507009035632	0.86539785972369	0.931439980435773
"GENSCAN00000000201"	650.58581199716	0.162863696133992	0.101896361306993	1.59832690829182	0.109970241916456	0.266136726808357
"GENSCAN00000000203"	13.0558736727383	0.869292812121893	0.573679005419254	1.51529479710801	0.129697765338491	NA
"GENSCAN00000000204"	284.020472051925	-0.154109435950995	0.137715530988158	-1.11904180193189	0.263122306094384	0.472560643351095
"GENSCAN00000000205"	3642.54788461372	0.132886398213313	0.0540792333038494	2.45725373854096	0.014000376167486	0.0564245376188895
"GENSCAN00000000206"	2075.04158910491	0.245098373574722	0.0711141750913557	3.44654737624194	0.000567798999115119	0.00401820362941245
